a	disclosures	64	6.5274018289e-05
a	day	71	7.24133640393e-05
b	amt	71	7.24133640393e-05
a	payment	92	9.38314012904e-05
b	apply	118	0.00012034897122
b	overlimit	127	0.000129528130042
a	stop	131	0.000133607756185
a	charges	131	0.000133607756185
a	did	139	0.000141767008471
a	applied	139	0.000141767008471
b	arbitration	168	0.000171344298009
a	wrong	169	0.000172364204544
a	bank	202	0.000206021120225
a	advance	240	0.000244777568584
a	delay	243	0.000247837288191
a	available	274	0.0002794543908
a	getting	291	0.000296792801908
b	forbearance	350	0.000356967287518
b	terms	350	0.000356967287518
a	workout	350	0.000356967287518
b	issues	538	0.000548709716242
b	scam	566	0.000577267099243
b	unsolicited	640	0.00065274018289
a	shopping	672	0.000685377192034
a	fees	807	0.000823064574362
a	expect	807	0.000823064574362
a	didn't	925	0.000943413545583
b	charged	976	0.000995428778907
b	rewards	1002	0.00102194634884
a	payoff	1155	0.00117799204881
b	advertising	1193	0.00121674849717
b	out	1242	0.00126672391742
b	monitoring	1453	0.00148192419647
a	repay	1647	0.00167978606441
b	late	1797	0.00183277204477
a	servicer	1944	0.00198269830553
a	dealing	1944	0.00198269830553
a	lender	2165	0.00220809764993
a	atm	2422	0.00247021362962
a	debit	2422	0.00247021362962
a	illegal	2505	0.00255486587209
b	action	2505	0.00255486587209
b	threatening	2505	0.00255486587209
a	statements	2508	0.0025579255917
a	false	2508	0.0025579255917
a	customer	2734	0.00278842446878
a	decision	2774	0.00282922073021
b	closing	2795	0.00285063876746
b	sharing	2832	0.00288837530929
b	receiving	3226	0.00329021848438
a	theft	3276	0.00334121381117
a	embezzlement	3276	0.00334121381117
b	apr	3431	0.00349929932421
a	rate	3431	0.00349929932421
b	a	3503	0.00357273259479
b	taking	3747	0.00382158978951
a	you	3821	0.00389706287316
a	are	3821	0.00389706287316
a	improper	4309	0.00439477726261
b	costs	4350	0.00443659343058
b	settlement	4350	0.00443659343058
a	score	4357	0.00444373277633
a	identity	4729	0.00482313800763
b	company's	4858	0.00495470595075
b	managing	5006	0.00510565211804
a	verification	5214	0.00531779267748
a	low	5663	0.00577573071204
b	funds	5663	0.00577573071204
b	the	6248	0.00637237603546
b	reporting	6559	0.00668956696808
b	other	7886	0.00804298294104
a	unable	8178	0.00834079564949
b	application	8868	0.00904453115916
b	problems	9484	0.0096727935852
b	of	10885	0.0111016826418
a	owed	11848	0.0120838526357
a	attempts	11848	0.0120838526357
b	collect	11848	0.0120838526357
a	not	12353	0.0125989054363
a	and	16448	0.0167754227003
a	account	20681	0.0210926870662
b	information	29069	0.0296476630882
b	on	29069	0.0296476630882
b	report	34903	0.0355977978178
a	servicing	36767	0.0374989036005
a	loan	119630	0.122011418874
a	Total	980482	1
