ClassPriors	47,33,0.5875,0.4125	ham	0.5875	
ect	378,0,0.023473306082,5.54600410404e-05	ham	0.023473306082	
and	258,277,0.0160411247368,0.0154178914092	ham	0.0160411247368	
hou	203,0,0.0126347082869,5.54600410404e-05	ham	0.0126347082869	
in	160,157,0.00997150997151,0.00876268648439	ham	0.00997150997151	
for	148,153,0.00922829183699,0.00854084632023	ham	0.00922829183699	
on	122,95,0.00761798587886,0.00532416393988	ham	0.00761798587886	
enron	116,0,0.00724637681159,5.54600410404e-05	ham	0.00724637681159	
i	113,106,0.00706057227796,0.00593422439133	ham	0.00706057227796	
will	113,69,0.00706057227796,0.00388220287283	ham	0.00706057227796	
this	99,90,0.00619348445435,0.00504686373468	ham	0.00619348445435	
be	90,84,0.00563607085346,0.00471410348844	ham	0.00563607085346	
is	86,86,0.00538833147529,0.00482502357052	ham	0.00538833147529	
with	72,76,0.00452124365168,0.00427042316011	ham	0.00452124365168	
we	66,67,0.00414963458442,0.00377128279075	ham	0.00414963458442	
am	58,14,0.00365415582807,0.000831900615606	ham	0.00365415582807	
as	54,39,0.00340641644989,0.00221840164162	ham	0.00340641644989	
by	52,57,0.00328254676081,0.00321668238034	ham	0.00328254676081	
kevin	47,0,0.00297287253809,5.54600410404e-05	ham	0.00297287253809	
please	41,20,0.00260126347083,0.00116466086185	ham	0.00260126347083	
management	40,0,0.00253932862629,5.54600410404e-05	ham	0.00253932862629	
moore	39,0,0.00247739378174,5.54600410404e-05	ham	0.00247739378174	
new	39,19,0.00247739378174,0.00110920082081	ham	0.00247739378174	
energy	37,2,0.00235352409265,0.000166380123121	ham	0.00235352409265	
cc	37,0,0.00235352409265,5.54600410404e-05	ham	0.00235352409265	
gas	36,0,0.00229158924811,5.54600410404e-05	ham	0.00229158924811	
subject	36,10,0.00229158924811,0.000610060451445	ham	0.00229158924811	
some	35,25,0.00222965440357,0.00144196106705	ham	0.00222965440357	
need	35,14,0.00222965440357,0.000831900615606	ham	0.00222965440357	
global	34,1,0.00216771955902,0.000110920082081	ham	0.00216771955902	
thanks	33,0,0.00210578471448,5.54600410404e-05	ham	0.00210578471448	
would	32,22,0.00204384986994,0.00127558094393	ham	0.00204384986994	
any	32,25,0.00204384986994,0.00144196106705	ham	0.00204384986994	
pm	31,3,0.00198191502539,0.000221840164162	ham	0.00198191502539	
risk	31,3,0.00198191502539,0.000221840164162	ham	0.00198191502539	
operations	29,0,0.00185804533631,5.54600410404e-05	ham	0.00185804533631	
corp	28,2,0.00179611049176,0.000166380123121	ham	0.00179611049176	
forwarded	27,0,0.00173417564722,5.54600410404e-05	ham	0.00173417564722	
me	27,23,0.00173417564722,0.00133104098497	ham	0.00173417564722	
trading	26,0,0.00167224080268,5.54600410404e-05	ham	0.00167224080268	
has	25,24,0.00161030595813,0.00138650102601	ham	0.00161030595813	
been	25,8,0.00161030595813,0.000499140369364	ham	0.00161030595813	
