ClassPriors	47,33,0.5875,0.4125
a	168,274,0.0104669887279,0.0152515112861
ab	4,0,0.000309674222718,5.54600410404e-05
able	3,8,0.000247739378174,0.000499140369364
abn	0,1,6.19348445435e-05,0.000110920082081
about	8,36,0.000557413600892,0.0020520215185
above	2,5,0.000185804533631,0.000332760246243
absent	1,0,0.000123869689087,5.54600410404e-05
absenteeism	0,1,6.19348445435e-05,0.000110920082081
absolute	0,1,6.19348445435e-05,0.000110920082081
absolutely	0,1,6.19348445435e-05,0.000110920082081
absorb	0,1,6.19348445435e-05,0.000110920082081
abuse	0,1,6.19348445435e-05,0.000110920082081
abused	0,1,6.19348445435e-05,0.000110920082081
acce	0,1,6.19348445435e-05,0.000110920082081
accelerate	0,1,6.19348445435e-05,0.000110920082081
accelerated	0,1,6.19348445435e-05,0.000110920082081
accept	0,3,6.19348445435e-05,0.000221840164162
acceptable	0,1,6.19348445435e-05,0.000110920082081
accepted	0,1,6.19348445435e-05,0.000110920082081
accepting	0,2,6.19348445435e-05,0.000166380123121
accepts	1,0,0.000123869689087,5.54600410404e-05
access	2,9,0.000185804533631,0.000554600410404
accomodate	4,0,0.000309674222718,5.54600410404e-05
accomodates	1,0,0.000123869689087,5.54600410404e-05
accompanied	1,0,0.000123869689087,5.54600410404e-05
according	1,1,0.000123869689087,0.000110920082081
account	16,13,0.00105289235724,0.000776440574566
accounting	4,0,0.000309674222718,5.54600410404e-05
accounts	0,1,6.19348445435e-05,0.000110920082081
accurate	1,0,0.000123869689087,5.54600410404e-05
aches	0,1,6.19348445435e-05,0.000110920082081
achieve	1,0,0.000123869689087,5.54600410404e-05
achieved	1,0,0.000123869689087,5.54600410404e-05
acid	0,1,6.19348445435e-05,0.000110920082081
acquire	1,0,0.000123869689087,5.54600410404e-05
acquisition	0,1,6.19348445435e-05,0.000110920082081
acrobaat	0,1,6.19348445435e-05,0.000110920082081
acrobat	0,1,6.19348445435e-05,0.000110920082081
across	5,4,0.000371609067261,0.000277300205202
act	0,3,6.19348445435e-05,0.000221840164162
action	0,1,6.19348445435e-05,0.000110920082081
activate	0,4,6.19348445435e-05,0.000277300205202
active	1,0,0.000123869689087,5.54600410404e-05
activists	1,0,0.000123869689087,5.54600410404e-05
activities	7,0,0.000495478756348,5.54600410404e-05
actor	0,1,6.19348445435e-05,0.000110920082081
actress	0,1,6.19348445435e-05,0.000110920082081
actual	0,3,6.19348445435e-05,0.000221840164162
actually	0,1,6.19348445435e-05,0.000110920082081
ad	0,20,6.19348445435e-05,0.00116466086185
adage	0,1,6.19348445435e-05,0.000110920082081
adapted	0,1,6.19348445435e-05,0.000110920082081
add	2,6,0.000185804533631,0.000388220287283
added	0,2,6.19348445435e-05,0.000166380123121
adding	0,2,6.19348445435e-05,0.000166380123121
addition	5,0,0.000371609067261,5.54600410404e-05
additional	11,0,0.000743218134522,5.54600410404e-05
additionally	1,1,0.000123869689087,0.000110920082081
address	1,18,0.000123869689087,0.00105374077977
addressed	1,0,0.000123869689087,5.54600410404e-05
addresses	1,2,0.000123869689087,0.000166380123121
addressing	1,0,0.000123869689087,5.54600410404e-05
addtional	1,0,0.000123869689087,5.54600410404e-05
adhesion	0,1,6.19348445435e-05,0.000110920082081
adm	1,0,0.000123869689087,5.54600410404e-05
adminder	0,1,6.19348445435e-05,0.000110920082081
administration	2,0,0.000185804533631,5.54600410404e-05
admitted	1,0,0.000123869689087,5.54600410404e-05
admixture	0,1,6.19348445435e-05,0.000110920082081
adobe	0,12,6.19348445435e-05,0.000720980533526
adobee	0,1,6.19348445435e-05,0.000110920082081
adr	1,0,0.000123869689087,5.54600410404e-05
adrianbold	0,1,6.19348445435e-05,0.000110920082081
ads	0,5,6.19348445435e-05,0.000332760246243
adult	0,2,6.19348445435e-05,0.000166380123121
adv	0,1,6.19348445435e-05,0.000110920082081
advance	4,0,0.000309674222718,5.54600410404e-05
advanced	0,1,6.19348445435e-05,0.000110920082081
advantage	1,0,0.000123869689087,5.54600410404e-05
advantages	0,1,6.19348445435e-05,0.000110920082081
advertise	0,2,6.19348445435e-05,0.000166380123121
advertised	0,1,6.19348445435e-05,0.000110920082081
advertisement	0,4,6.19348445435e-05,0.000277300205202
advertisements	0,1,6.19348445435e-05,0.000110920082081
advertising	0,6,6.19348445435e-05,0.000388220287283
advertisments	0,1,6.19348445435e-05,0.000110920082081
advice	1,1,0.000123869689087,0.000110920082081
advise	2,0,0.000185804533631,5.54600410404e-05
advises	1,0,0.000123869689087,5.54600410404e-05
advocates	1,0,0.000123869689087,5.54600410404e-05
advs	0,1,6.19348445435e-05,0.000110920082081
aec	2,0,0.000185804533631,5.54600410404e-05
aeopublishing	0,19,6.19348445435e-05,0.00110920082081
afeee	0,1,6.19348445435e-05,0.000110920082081
aff	0,1,6.19348445435e-05,0.000110920082081
affairs	1,0,0.000123869689087,5.54600410404e-05
affect	0,1,6.19348445435e-05,0.000110920082081
affiliate	0,1,6.19348445435e-05,0.000110920082081
affiliates	0,3,6.19348445435e-05,0.000221840164162
afirst	0,1,6.19348445435e-05,0.000110920082081
afraid	1,3,0.000123869689087,0.000221840164162
africa	0,10,6.19348445435e-05,0.000610060451445
after	3,12,0.000247739378174,0.000720980533526
afternoon	3,1,0.000247739378174,0.000110920082081
again	7,4,0.000495478756348,0.000277300205202
against	2,1,0.000185804533631,0.000110920082081
age	0,4,6.19348445435e-05,0.000277300205202
agendas	1,0,0.000123869689087,5.54600410404e-05
agent	0,1,6.19348445435e-05,0.000110920082081
aggressive	0,1,6.19348445435e-05,0.000110920082081
aggressively	2,1,0.000185804533631,0.000110920082081
agonizing	0,1,6.19348445435e-05,0.000110920082081
agouti	0,1,6.19348445435e-05,0.000110920082081
agree	1,1,0.000123869689087,0.000110920082081
agreed	2,0,0.000185804533631,5.54600410404e-05
agreement	12,2,0.000805152979066,0.000166380123121
agreements	3,0,0.000247739378174,5.54600410404e-05
ahead	0,1,6.19348445435e-05,0.000110920082081
aid	0,1,6.19348445435e-05,0.000110920082081
aids	1,0,0.000123869689087,5.54600410404e-05
air	3,3,0.000247739378174,0.000221840164162
airport	2,0,0.000185804533631,5.54600410404e-05
airs	0,1,6.19348445435e-05,0.000110920082081
aka	0,1,6.19348445435e-05,0.000110920082081
akkabay	0,4,6.19348445435e-05,0.000277300205202
al	0,1,6.19348445435e-05,0.000110920082081
albuquerque	2,0,0.000185804533631,5.54600410404e-05
alertness	0,1,6.19348445435e-05,0.000110920082081
alex	4,0,0.000309674222718,5.54600410404e-05
alexios	1,0,0.000123869689087,5.54600410404e-05
alhaji	0,2,6.19348445435e-05,0.000166380123121
all	32,54,0.00204384986994,0.00305030225722
allay	0,1,6.19348445435e-05,0.000110920082081
allen	4,1,0.000309674222718,0.000110920082081
alleviates	0,1,6.19348445435e-05,0.000110920082081
alli	1,0,0.000123869689087,5.54600410404e-05
allocate	1,0,0.000123869689087,5.54600410404e-05
allocated	2,0,0.000185804533631,5.54600410404e-05
allocating	2,0,0.000185804533631,5.54600410404e-05
